guc,spa
aa ,sí
aainjaa ,hacer
aainjaa ,elaborar  fabricar
aainjaa ,construir
aainjala ,acción mala pecado
aainjala ,hecho
aajuna ,cubierta  techo
aajuna ,aa'u
aajüin,aashin
aakataa ,quitar
aa’ayajirawaa,discutir
aa’ayula ,calor  temperatura
aa’in ,corazón  alma  espíritu  mente  voluntad
aa’inmajaa ,cuidar
aa’inraa,hacer
aa’inyajaa ,colgar una hamaca  amarrar el cinturón
aa’irü ,tía (materna)
aa’u ,en
aa’u ,encima de
aa’u ,sobre
aa’u ,por (precio)
aa’u ,por causa de
aa’u ,— conj
aa’u ,como  puesto que
"aalin, aalii ",por causa de
"aalin, aalii ",— n_pos
"aalin, aalii ",dolor
aaluwain ,tobillo
aamaka ,cementerio
aamaka ,difunto  -ta
"aamüjaa, aamajaa",ayunar
aanala ,cobija
aanekaa ,eenakaa
aanükü ,boca
aapaa (1) ,dar
aapaa (2),oír
aapajaa ,v_t
aapajaa ,escuchar
aapawaa,tomar  coger
aapawaa,aceptar
aapiee,mensajero  -ra
aapiraa,avisar
aapuwaa ,estar enfermo  -ma
aapuwaa ,— v_i
aapuwaa ,enfermarse
aashajawaa ,hablar
aashajawaa ,— v_t
aashajawaa ,criticar
aashaje’eraa ,leer
aashichijaa ,enojar  provocar
aashichijaa ,jashichii
aashichijawaa ,enojarse
"aashin, aajüin ",según
aataa eejuu ,oler
aawain ,peso
aawain ,influencia
aawain ,jawataa
aawalaa ,aflojar
aawalaa ,soltar
aawalawaa ,aliviarse  mejorarse de una aflicción
achajawaa,buscar
achajawaa,mekeerüü
acha’a ,excremento
acha’a ,óxido
achecheraa ,apretar
achecheraa ,tensar
achecheraa ,ichee
achekaa ,querer
achekajaa ,cobrar deuda  reclamar
ache’e ,oreja  oído
achepchia ,sirviente  -ta
achepchia ,esclavo  -va
achepü,pintura para la cara
achiawaa ,amonestar  aconsejar
achiirua,detrás de
achijiraa ,despertar
achijirawaa,despertarse
achikanain ,huella
achikanain ,rastro
"achiki, achikü ",relato  noticia
"achiki, achikü ",— posp
